Skapad av WizTree 4.08 2022-12-03 07:26:36 (Du kan dölja detta meddelande genom att göra en donation)
Filnamn,Storlek,Allokerat,Modifierad,Attribut,Filer,Mappar
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\Transdimensional Antfarm.sav",3421448,3424256,2022-12-02 02:07:49,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 497.sav",3418541,3420160,2022-12-02 02:04:46,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 495.sav",3417689,3420160,2022-12-02 01:57:59,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 496.sav",3416339,3420160,2022-12-02 02:01:22,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 494.sav",3415304,3416064,2022-12-02 01:54:32,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 493.sav",3413817,3416064,2022-12-02 01:51:08,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 492.sav",3411245,3411968,2022-12-02 01:47:43,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 491.sav",3406938,3407872,2022-12-02 01:44:12,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 490.sav",3406638,3407872,2022-12-02 01:38:30,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 489.sav",3405385,3407872,2022-12-02 01:34:23,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 488.sav",3402589,3403776,2022-12-02 01:30:47,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 181.sav",2077846,2080768,2022-11-09 02:09:28,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 180.sav",2072199,2072576,2022-11-09 02:05:47,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 179.sav",2071644,2072576,2022-11-09 01:54:39,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 179.sav (1).sav",2069396,2072576,2022-11-09 02:01:20,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 178.sav",2058919,2060288,2022-11-09 01:51:01,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 177.sav",2051098,2052096,2022-11-09 01:46:59,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 176.sav",2048548,2052096,2022-11-09 01:42:10,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 175.sav",2037390,2039808,2022-11-09 01:30:27,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 174.sav",2031412,2031616,2022-11-09 01:23:49,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 173.sav",2024702,2027520,2022-11-09 01:19:52,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\Rocky Crew.sav",1883281,1884160,2022-04-28 20:43:52,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 166.~sav",1879604,1880064,2022-04-28 20:41:17,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 166.sav",1879604,1880064,2022-04-28 20:41:13,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 165.sav",1872314,1875968,2022-04-28 20:37:50,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 163.~sav",1864031,1867776,2022-04-28 20:31:07,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 163.sav",1864031,1867776,2022-04-28 20:31:04,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 164.sav",1862571,1863680,2022-04-28 20:34:28,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 162.~sav",1850880,1851392,2022-04-28 20:27:34,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 162.sav",1850880,1851392,2022-04-28 20:27:31,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 161.~sav",1843975,1847296,2022-04-28 20:24:03,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 161.sav",1843975,1847296,2022-04-28 20:23:59,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 160.sav",1838387,1839104,2022-04-28 20:20:27,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 159.sav",1833261,1835008,2022-04-28 20:17:00,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 158.~sav",1827907,1830912,2022-04-28 20:13:25,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 158.sav",1827907,1830912,2022-04-28 20:13:22,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 157.~sav",1822541,1822720,2022-04-28 20:09:53,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 157.sav",1822541,1822720,2022-04-28 20:09:50,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 117.sav",1639284,1642496,2022-11-07 00:09:18,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 116.sav",1633890,1634304,2022-11-07 00:04:35,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 115.sav",1633371,1634304,2022-11-06 23:58:18,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 114.sav",1622540,1626112,2022-11-06 23:54:18,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 113.sav",1613161,1613824,2022-11-06 23:49:47,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 112.sav",1605949,1609728,2022-11-06 23:45:51,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 111.sav",1599994,1601536,2022-11-06 23:41:55,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 110.sav",1594366,1597440,2022-11-06 23:37:44,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 109.sav",1587949,1589248,2022-11-06 23:34:09,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 108.sav",1580150,1581056,2022-11-06 23:30:33,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 89.sav",1576344,1576960,2022-10-26 20:05:13,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 92.sav",1565334,1568768,2022-10-26 20:56:03,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 91.sav",1562636,1564672,2022-10-26 20:51:45,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 90.sav",1558385,1560576,2022-10-26 20:48:14,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 88.sav",1541910,1544192,2022-10-26 19:59:53,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 87.~sav",1526316,1527808,2022-01-13 01:39:50,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 87.sav",1526316,1527808,2022-03-19 02:16:51,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\The Lunar Planet\auto_save\The Lunar Planet Cycle 86.~sav",1521812,1523712,2022-01-13 01:35:17,32,0,0
